MovieId,MovieName,ReleaseDate,Director,MovieCast,Duration,Description,Trailer
1,Terminator: Dark Fate,01-Nov-19,Tim Miller & James Cameron, Charles H. Eglee and Josh Friedman and David S. Goyer Justin Rhodes,2h 14m,In Mexico City a newly modified liquid Terminator arrives from the future to kill a young factory worker named Dani Ramos.,https://www.youtube.com/watch?v=oxy8udgWRmo
2,The Good Liar,15-Nov-19,Bill Condon,Helen Mirren Ian McKellen Russell Tovey ,1h 50m,Career con artist Roy Courtnay can hardly believe his luck when he meets well-to-do widow Betty McLeish online.,https://www.youtube.com/watch?v=ljKzFGpPHhw
3,Frozen 2,22-Nov-19,Jennifer Lee Chris Buck,Jennifer Lee & Allison Schroeder,2h,Elsa the Snow Queen and her sister Anna embark on an adventure far away from the kingdom of Arendelle. They are joined by friends - Kristoff with Olaf and Sven.,https://www.youtube.com/watch?v=bwzLiQZDw2I
4,Zombieland: 2,18-Oct-19,Ruben Fleischer,Rhett Reese Paul Wernick David Callaham,1h 39m,Zombie slayers Tallahassee Columbus Wichita and Little Rock leave the confines of the White House ,https://www.youtube.com/watch?v=DjelrTXP21I
5,Midway,01-Nov-19,Roland Emmerich,Ed Skrein Patrick Wilson Woody Harrelson,2h 18m,On Dec. 7 1941 Japanese forces launch a devastating attack on Pearl Harbor the U.S. naval base in Hawaii.,https://www.youtube.com/watch?v=Z_7eN5iloyk
6,Charlie's Angels,15-Nov-19,Elizabeth Banks,Kristen Stewart Naomi Scott Ella Balinska,1h 58m,When a systems engineer blows the whistle on a dangerous technology and Charlie's Angels from across the globe are called into action putting their lives on the line to protect society,https://www.youtube.com/watch?v=RSUq4VfWfjE
11,Chaos Walking,28-Feb-20,Doug Liman,Charlie Kaufman,1hr 54 min,Chaos Walking is an upcoming American science fiction film based on Patrick Ness's 2008 novel The Knife of Never Letting Go.,https://youtu.be/sqmLpT2t_4M,
12,The Grudge,02-Jan-20,Nicolas Pesce,Lin Shaye,1hr 56 min,After a young mother murders her family in her own house, a single mother and detective tries to investigate and solve the case.,https://youtu.be/O2NKzO-fxwQ
13,UnderWater,10-Jan-20,William Eubank,Peter Chernin,1hr 54 min,Mysterious creatures terrorize crew members aboard a research station located seven miles below the surface of the ocean.,https://youtu.be/jCFWEzIVILc,
14,Bad Boys for Life,17-Jan-20,Bilall Fallah, Adil El Arbi,1hr 54 min,Old-school cops Mike Lowery and Marcus Burnett team up to take down the vicious leader of a Miami drug cartel.,https://youtu.be/jKCj3XuPG8M,
15,Dolittle,10-Jan-20,Stephen Gaghan,Robert Downey,1hr 54 min,Dr. John Dolittle lives in solitude behind the high walls of his lush manor in 19th-century England.,https://youtu.be/FEf412bSPLs,
16,The Gentlemen ,24-Jan-20,Guy Ritchie,Charlie Hunnam,1hr 54 min,Mickey Pearson is an American expatriate who became rich by building a marijuana empire in London.,https://youtu.be/2B0RpUGss2c,
17,The Turning,24-Jan-20,Floria Sigismondi,Carey W. Hayes,1hr 54 min,A young nanny uncovers dark secrets while caring for two disturbed orphans at a haunted Maine mansion.,https://youtu.be/rl33gU2APIs,
18,Bloodshot,21-Feb-20,Dave Wilson,Sam Heughan,1hr 54 min,After he and his wife are murdered marine Ray Garrison is resurrected by a team of scientists.,https://youtu.be/7bdaY6BT_Yk,
19,Bad Trip,24-Apr-20,Kitao Sakurai,Eric Andre, Tiffany Haddish,1hr 54 min,Hidden cameras capture two best friends pulling hilarious and inventive pranks on an unsuspecting public.,https://youtu.be/X7T73WXAdVA
20,The Photograph,14-Feb-20,Stella Meghie,LaKeith,1hr 54 min,When famed photographer Christina Eames dies unexpectedly she leaves her estranged daughter Mae hurt angry and full of questions.,https://youtu.be/LwOGIlpPqek,
